School name,Adress school,ZC school,Bicimad station,Bicimad adress,Distance
Escuela infantil municipal El Bateo,CALLE PINOS DE OSUNA 3,28042,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5946.702451322833
Escuela infantil municipal El Bosque,CALLE DELICIAS 32,28045,168 - Batalla del Salado,Paseo Santa María de la Cabeza nº 29,43.64129648160612
Escuela infantil municipal El Caserío,CALLE MARIA TERESA ROBLEDO 3,28018,227 - Concordia,Calle Arroyo del Olivar nº 6,1157.6214734570563
Escuela infantil municipal El Duende,PLAZA DOS DE MAYO 2,28004,11 - San Andrés,Calle San Andrés nº 18,111.7513614954773
Escuela infantil municipal El Fresno,CALLE MARIA CASARES 15,28049,217 - Pedro Rico,Calle Pedro Rico nº 4,4311.713378788642
Escuela infantil municipal El Lirón,CALLE PICO DE LOS ARTILLEROS 123,28030,219 - Marroquina,Calle Camino de los Vinateros nº 108,878.7045350862953
Escuela infantil municipal El Mamut,CALLE GANADOS DEL SALOBRAL 7,28021,235 - Embajadores 191,Calle Sodio nº 1B,5937.355270414728
Escuela infantil municipal El Manantial,CALLE CARLOS FUENTES 2,28047,224 - Caramuel,Calle Caramuel nº 51,1884.9653132478422
Escuela infantil municipal El Olivar,CALLE OLIVAR 48,28012,43 - Jesús y María,Calle Lavapiés nº 34,125.37669932977315
Escuela infantil municipal El Rocío,CARRETERA CARABANCHEL A VILLAVERDE 107,28041,213 - Glorieta de Cádiz,Calle Antonio López nº 129,4289.159449657637
Escuela infantil municipal El Sol,CALLE ENRIQUE JARDIEL PONCELA 8,28016,254 - Pío XII,Avenida Pío XII nº 3,760.5589720836821
Escuela infantil municipal El Tren de Arganda,PLAZA DOCTOR LAGUNA 11,28009,71 - Doce de Octubre,Calle Doce de Octubre nº 28,164.20368005157965
Escuela infantil municipal Elena Fortún,AVENIDA MONASTERIO DE SILOS 57,28049,217 - Pedro Rico,Calle Pedro Rico nº 4,2766.916219731394
Escuela infantil municipal Escuelas de San Antón,CALLE FARMACIA 13,28004,6 - Colegio Arquitectos,Calle Hortaleza nº 63,55.48090832674435
Escuela infantil municipal Fernando el Católico,CALLE FERNANDO EL CATOLICO 16,28015,127 - Fernando el Católico,Calle Fernando el Católico nº 19,147.74155175127538
Escuela infantil municipal Gigantes y Cabezudos,CALLE RAFAEL BERGAMIN 28,28043,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2,873.6103565108193
